LatO,LongO,LatD,LongD
40.747421,-73.985298,40.758869,-73.925453
40.711655,-73.94371,40.687786,-73.962418
40.684132,-73.977272,40.674648,-73.94445
40.72327,-73.994926,40.673241,-73.989403
40.763382,-73.981308,40.745682,-73.902687
40.766281,-73.963409,40.725342,-73.977821
40.720982,-73.984085,40.752136,-73.976807
40.720142,-74.010109,40.772949,-73.979912
40.762238,-73.967903,40.752728,-73.910736
40.727425,-73.988609,40.761379,-73.997536
40.725006,-73.987221,40.749313,-73.984573
40.768009,-73.924026,40.743862,-73.885811
40.756367,-73.99762,40.78199,-73.949661
40.760674,-73.98394,40.721657,-73.995415
40.747559,-73.986046,40.720463,-73.989822
40.766418,-73.981697,40.76009,-73.928169
40.749401,-73.992264,40.764641,-73.970207
40.766861,-73.99688,40.739998,-74.005928
40.725712,-74.004471,40.760647,-73.993881
40.75819,-73.965912,40.750511,-73.994667
40.757641,-73.969666,40.739792,-73.990852
40.730026,-73.983421,40.763336,-73.959305
40.74749,-73.985352,40.79393,-73.946053
40.717499,-73.997864,40.679489,-73.933762
40.7271,-73.98893,40.747562,-73.996956
40.743202,-73.916588,40.765354,-73.979988
40.749523,-73.992355,40.711277,-74.014885
40.727814,-73.982109,40.703072,-74.011429
40.73608,-73.989304,40.767368,-73.953552
40.74366,-73.983673,40.7197,-73.964241
40.81258,-73.956932,40.782871,-73.957474
40.722942,-73.988876,40.707306,-73.943626
40.773228,-73.955078,40.742428,-73.996834
40.717152,-73.998466,40.70533,-74.007622
40.757149,-73.982368,40.797218,-73.942657
40.74445,-73.988701,40.771587,-73.98687
40.747993,-73.986816,40.751553,-73.939667
40.709366,-74.016373,40.748707,-74.000244
40.75927,-73.968132,40.79504,-73.933434
40.766045,-73.994499,40.802818,-73.951462
40.758835,-73.989464,40.759266,-74.023186
40.764191,-73.981064,40.781178,-73.947586
40.714928,-74.008125,40.754059,-73.979286
40.729099,-73.987289,40.69376,-73.937347
40.746799,-73.98391,40.756741,-73.917549
40.743874,-73.984169,40.788548,-73.967278
40.762943,-73.997032,40.741169,-73.987724
40.728275,-73.975716,40.756176,-73.988136
40.728851,-73.988136,40.78067,-73.9524
40.71806,-73.990707,40.777271,-73.951981
40.752171,-73.986519,40.728943,-73.984932
40.76329,-73.974731,40.704266,-74.009995
40.808701,-73.944923,40.79398,-73.969551
40.771214,-73.956863,40.737213,-73.974609
40.866848,-73.920677,40.848324,-73.930687
40.718967,-73.98912,40.689606,-73.965141
40.749531,-73.99231,40.725246,-73.984184
40.773987,-73.87294,40.750954,-73.892731
40.68959,-73.98111,40.688129,-73.946671
40.764862,-73.982391,40.745182,-74.005936
40.743893,-74.006767,40.738564,-73.97287
40.760773,-73.958061,40.750172,-73.994568
40.740303,-74.00206,40.765961,-73.983078
40.811405,-73.936615,40.844936,-73.914642
40.76157,-73.986641,40.811798,-73.952797
40.761223,-73.979027,40.756779,-73.92733
40.762402,-73.985909,40.808201,-73.941002
40.76284,-73.983315,40.728817,-73.987885
40.747272,-73.985649,40.722282,-73.980278
40.751202,-73.940605,40.772549,-73.952705
40.707142,-74.004219,40.740059,-73.981277
40.746986,-73.997276,40.732586,-74.009285
40.742149,-74.000717,40.721161,-73.987648
40.773838,-73.87133,40.758904,-73.925499
40.760612,-73.994987,40.765907,-73.964027
40.74165,-73.993652,40.77087,-73.950798
40.684036,-73.910881,40.694317,-73.854179
40.759327,-73.968246,40.785069,-73.943245
40.76017,-73.98748,40.735561,-73.922417
40.729744,-73.990005,40.690502,-73.958633
40.753681,-73.988663,40.721581,-73.997589
40.720211,-73.987373,40.749771,-73.992081
40.764301,-73.988289,40.756294,-73.979233
40.756508,-73.983116,40.746681,-73.919395
40.76244,-73.960709,40.763569,-73.996529
40.760773,-73.984154,40.762875,-73.92218
40.722359,-73.980072,40.711658,-73.96698
40.728569,-73.999763,40.733959,-73.952187
40.775177,-73.982269,40.743065,-73.93631
40.741837,-74.001045,40.768757,-73.98748
40.788139,-73.944199,40.761181,-73.990791
40.758808,-73.988663,40.779942,-73.956383
40.739132,-73.986916,40.728905,-73.952682
40.751549,-73.941658,40.765392,-73.918404
40.732651,-73.985199,40.748169,-74.003838
40.729347,-74.001534,40.77565,-73.98394
40.730701,-73.980797,40.768631,-73.98716
40.792141,-73.941299,40.76939,-73.987709
40.782677,-73.981407,40.75967,-73.983856
40.748581,-73.987389,40.731155,-73.95166
40.757462,-73.990128,40.769409,-73.959633
40.774376,-73.87291,40.770901,-73.865646
40.736305,-73.997559,40.715363,-74.015953
40.747009,-73.985672,40.796173,-73.968658
40.768433,-73.862633,40.746262,-73.890594
40.72794,-73.982109,40.786648,-73.950226
40.74641,-73.98243,40.712315,-73.962685
40.777241,-73.95237,40.74865,-73.973068
40.76667,-73.996346,40.750923,-73.945572
40.747696,-73.985313,40.707474,-74.004173
40.747326,-73.985405,40.71804,-73.959656
40.743011,-73.984413,40.792274,-73.938126
40.72591,-73.983673,40.72538,-73.942535
40.751228,-73.940102,40.783161,-73.974251
40.729229,-73.990013,40.760429,-73.958092
40.750122,-74.00251,40.741528,-74.006752
40.748909,-73.977058,40.7789,-73.96032
40.768253,-73.928993,40.747177,-73.89267
40.781521,-73.952019,40.809223,-73.938087
40.790611,-73.939461,40.806641,-73.902443
40.694946,-73.983948,40.748592,-74.003342
40.722389,-73.986198,40.720516,-73.95591
40.745441,-73.906548,40.76722,-73.979309
40.745743,-73.975937,40.777225,-73.954056
40.747395,-73.976997,40.721909,-73.987495
40.748951,-74.007057,40.733139,-73.975517
40.738434,-74.008087,40.71022,-74.015022
40.756523,-73.990028,40.727192,-73.997093
40.766861,-73.981941,40.72625,-73.940826
40.710175,-74.007492,40.728439,-73.987175
40.764027,-73.98864,40.726994,-73.989037
40.753735,-73.969223,40.778095,-73.949905
40.742802,-73.985298,40.693619,-73.992889
40.753281,-73.969589,40.745087,-73.944168
40.757908,-73.964233,40.773895,-73.921768
40.765411,-73.991219,40.805832,-73.952774
40.79414,-73.972397,40.838379,-73.94529
40.753349,-73.984222,40.768208,-73.954247
40.766624,-73.996216,40.732967,-73.975258
40.758141,-73.918549,40.754753,-73.877663
40.752747,-73.996895,40.7314,-73.985619
40.751163,-73.982864,40.742867,-73.917221
40.735077,-74.008415,40.759762,-73.981194
40.726135,-73.991791,40.782085,-73.950111
40.723633,-73.988091,40.751186,-73.971039
40.737915,-74.00412,40.718666,-73.992744
40.784023,-73.947029,40.75106,-73.976372
40.823959,-73.948654,40.860268,-73.902611
40.757351,-73.997238,40.751484,-73.944687
40.730282,-74.004608,40.69096,-73.971413
40.809361,-73.941437,40.827332,-73.890953
40.773369,-73.950607,40.751709,-73.975052
40.735462,-73.991638,40.747669,-74.004044
40.760521,-73.967621,40.765591,-73.99369
40.741951,-73.993378,40.767681,-73.98597
40.746029,-73.994179,40.724049,-73.975822
40.747349,-73.98336,40.795238,-73.932945
40.764648,-73.98777,40.76025,-73.931412
40.76664,-73.977509,40.722717,-73.992783
40.716103,-73.991737,40.756279,-73.992752
40.741257,-74.005829,40.78426,-73.97094
40.743801,-73.973198,40.780281,-73.946991
40.714443,-73.981491,40.705292,-74.007698
40.689743,-73.977402,40.682339,-73.938843
40.740444,-73.998169,40.761101,-73.990913
40.772919,-73.964363,40.81403,-73.952271
40.739895,-74.002739,40.710842,-74.007492
40.765675,-73.994896,40.729282,-73.982468
40.79285,-73.973351,40.756191,-73.987312
40.784546,-73.947235,40.749702,-73.991386
40.722721,-73.988556,40.681953,-73.93483
40.645374,-73.776649,40.67326,-73.790535
40.722149,-73.958656,40.692844,-73.957466
40.753159,-73.985489,40.743629,-73.924599
40.766769,-73.97834,40.799061,-73.968292
40.728512,-73.985443,40.766659,-73.978508
40.672279,-73.869286,40.635052,-73.887535
40.726357,-73.991875,40.78046,-73.952927
40.728264,-73.984833,40.766811,-73.979187
40.730991,-74.001457,40.711494,-73.95752
40.678638,-73.951195,40.668831,-73.993309
40.720837,-74.005196,40.747532,-73.993195
40.750683,-73.940018,40.766918,-73.892136
40.813721,-73.941261,40.757496,-73.98349
40.723186,-73.991203,40.760956,-73.987106
40.769855,-73.954468,40.75095,-73.994209
40.752735,-73.970009,40.729603,-73.954025
40.774994,-73.950859,40.753277,-73.976685
40.7416,-74.001129,40.7752,-73.94767
40.763954,-73.958702,40.775852,-73.982162
40.765587,-73.913605,40.752922,-73.877296
40.730713,-74.00161,40.745907,-73.957092
40.72039,-73.999817,40.747921,-73.987549
40.716545,-73.996666,40.700867,-73.926102
40.613956,-73.74897,40.591328,-73.786247
40.72718,-73.979752,40.681641,-73.98967
40.72279,-73.985931,40.748085,-73.97316
40.756939,-73.969437,40.747952,-73.956657
40.693642,-73.944687,40.682011,-73.919823
40.740582,-73.97905,40.77718,-73.989044
40.712025,-74.006844,40.708157,-73.950684
40.728329,-74.001953,40.755672,-73.991066
40.741234,-74.005203,40.758533,-73.98867
40.764538,-73.980797,40.713867,-74.010986
40.717899,-73.999985,40.692036,-73.981445
40.761768,-73.979477,40.718151,-73.986389
40.74789,-73.986923,40.769669,-73.983467
40.745113,-73.978889,40.692272,-73.982841
40.726143,-73.989456,40.698006,-73.925964
40.753143,-73.932747,40.749226,-73.972771
40.740849,-74.004967,40.707054,-74.016617
40.747807,-74.000374,40.802605,-73.957039
40.74826,-73.988838,40.791351,-73.977303
40.71167,-73.942688,40.705559,-73.937439
40.741776,-73.997284,40.762032,-73.963318
40.741631,-74.004936,40.76511,-73.988579
40.742481,-74.00679,40.706421,-74.016098
40.771278,-73.983421,40.781792,-73.960342
40.732559,-73.985214,40.778709,-73.94796
40.775162,-73.911949,40.754822,-73.89946
40.726967,-73.991493,40.780602,-73.976013
40.747307,-73.979012,40.782608,-73.972862
40.740417,-74.00206,40.742455,-73.974564
40.750725,-73.945457,40.765095,-73.975266
40.743099,-73.97728,40.802601,-73.941017
40.833912,-73.945198,40.810284,-73.924973
40.779804,-73.950325,40.754002,-73.97477
40.763508,-73.985336,40.787903,-73.955597
40.739765,-73.991074,40.759186,-73.995712
40.787308,-73.944595,40.803143,-73.963661
40.765224,-73.967255,40.793633,-73.951302
40.786671,-73.972504,40.749767,-73.991478
40.741562,-73.981407,40.776756,-73.953484
40.758404,-73.985687,40.771721,-73.948914
40.723869,-74.004753,40.752392,-73.978203
40.794258,-73.97142,40.788567,-73.938339
40.758499,-73.959816,40.755222,-73.994118
40.749233,-73.987473,40.723698,-74.005173
40.713902,-73.99865,40.686806,-73.951828
40.779003,-73.977654,40.801872,-73.957222
40.807629,-73.964401,40.773579,-73.950897
40.748322,-73.988976,40.793877,-73.967789
40.743183,-73.977142,40.710403,-73.964493
40.741718,-74.006744,40.777397,-73.977783
40.728767,-73.986343,40.762299,-73.978432
40.722065,-73.98645,40.770885,-73.953835
40.773823,-73.948715,40.758766,-73.978516
40.76408,-73.954269,40.777081,-73.985573
40.741726,-73.978317,40.74342,-73.922714
40.751816,-73.975945,40.788383,-73.945351
40.800697,-73.935043,40.824196,-73.872292
40.722996,-73.98616,40.749775,-73.991875
40.775249,-73.953682,40.74728,-73.905678
40.77906,-73.950798,40.758354,-73.981148
40.760895,-73.987045,40.710472,-73.986557
40.737919,-73.988022,40.756386,-74.003586
40.676468,-73.980621,40.730946,-74.004501
40.781368,-73.960442,40.756519,-73.985634
40.750038,-73.969025,40.777718,-73.953125
40.787369,-73.949921,40.764473,-73.977058
40.721951,-73.986397,40.71064,-73.945602
40.765549,-73.926529,40.762501,-73.971954
40.749207,-73.987717,40.736607,-74.005089
40.761635,-73.960342,40.786873,-73.943253
40.768318,-73.959023,40.779518,-73.987801
40.720875,-73.993744,40.677029,-73.980049
40.754532,-73.969093,40.750343,-73.994789
40.790192,-73.959534,40.749828,-73.971893
40.721725,-73.984528,40.760742,-73.994209
40.717335,-73.997345,40.746037,-73.990143
40.71006,-73.963959,40.709129,-73.922432
40.731094,-74.00135,40.765732,-73.983734
40.761879,-73.979393,40.720551,-73.984306
40.747059,-73.890282,40.752651,-73.932762
40.694839,-73.983849,40.750221,-73.994743
40.74247,-73.980431,40.709751,-73.998108
40.747971,-73.987122,40.719776,-73.987617
40.748322,-73.987083,40.78849,-73.953331
40.756618,-73.99044,40.758652,-73.965248
40.7878,-73.974869,40.758869,-73.978798
40.689999,-73.92308,40.681141,-73.881157
40.778965,-73.980927,40.750023,-73.994949
40.75808,-73.987801,40.795891,-73.949989
40.7421,-74.003693,40.78273,-73.982437
40.677528,-73.927757,40.6591,-73.911934
40.7514,-73.973984,40.773022,-73.949738
40.755852,-73.977592,40.753201,-73.933807
40.773472,-73.959801,40.749088,-73.991394
40.772087,-73.926132,40.746311,-73.945724
40.718449,-73.988235,40.690315,-73.917747
40.760258,-73.987312,40.713612,-73.99379
40.741402,-74.004868,40.721882,-73.985435
40.72229,-73.987091,40.750359,-73.994362
40.742546,-73.974594,40.787006,-73.979279
40.749908,-73.9953,40.773426,-73.951981
40.789383,-73.940331,40.765282,-73.958153
40.754959,-73.977882,40.76786,-73.925446
40.750172,-73.995163,40.790928,-73.951546
40.672684,-73.986687,40.652317,-73.955032
40.75597,-73.921509,40.782829,-73.973526
40.748749,-73.985603,40.76696,-73.990105
40.7444,-73.987679,40.787651,-73.949692
40.739704,-73.986961,40.775124,-73.947769
40.791004,-73.974564,40.816212,-73.957764
40.777748,-73.981972,40.747314,-74.009499
40.730812,-73.992172,40.677181,-73.986473
40.741089,-74.007477,40.724468,-73.97551
40.776299,-73.957939,40.76936,-73.988724
40.776588,-73.946739,40.749401,-73.98381
40.744678,-73.910957,40.763161,-73.967644
40.790318,-73.947792,40.764149,-73.981544
40.740849,-73.998146,40.756981,-73.969337
40.768742,-73.952408,40.752178,-73.997231
40.732716,-73.981636,40.765678,-73.991348
40.750744,-73.97448,40.776123,-73.955963
40.794472,-73.944679,40.755035,-73.980026
40.780613,-73.952652,40.73782,-73.980949
40.766171,-73.995239,40.749775,-73.938713
40.714321,-74.00869,40.75032,-73.990746
40.74826,-73.986137,40.705559,-74.006813
40.778683,-73.954018,40.751839,-73.994652
40.779968,-73.950333,40.748589,-74.00602
40.762161,-73.989601,40.762489,-73.919579
40.752655,-73.979347,40.753277,-73.933983
40.741959,-74.000893,40.712349,-73.962677
40.761349,-73.983864,40.726784,-73.987251
40.705711,-73.909348,40.704094,-73.947868
40.741314,-74.001396,40.779011,-73.981438
40.692657,-73.955719,40.667442,-73.955322
40.742134,-74.000343,40.710674,-74.007523
40.740494,-73.896042,40.77372,-73.870575
40.7799,-73.984375,40.742188,-73.980843
40.713081,-74.009605,40.735828,-74.00573
40.78112,-73.946564,40.764431,-73.977386
40.763882,-73.915001,40.753689,-73.853203
40.682724,-73.934959,40.680866,-73.961342
40.818878,-73.9282,40.802578,-73.956764
40.729069,-73.97522,40.75061,-73.994507
40.780704,-73.980835,40.74762,-73.997505
40.756454,-73.986801,40.726265,-73.977318
40.775581,-73.947182,40.756165,-74.002754
40.761822,-73.978104,40.794449,-73.971878
40.760262,-73.98024,40.755634,-74.003593
40.74332,-73.979958,40.767849,-73.982109
40.745697,-73.994354,40.712418,-73.992546
40.730141,-73.992371,40.785473,-73.95491
40.720806,-74.00843,40.758045,-73.98941
40.796143,-73.970749,40.759144,-73.981415
40.735737,-73.992523,40.777969,-73.981865
40.739643,-73.976448,40.718845,-73.956795
40.746792,-73.993805,40.717411,-73.998428
40.805401,-73.945129,40.756611,-73.985832
40.763062,-73.962456,40.723297,-73.998405
40.76112,-73.990616,40.799026,-73.968704
40.712666,-73.990196,40.740005,-73.998489
40.774799,-73.912392,40.742947,-73.897339
40.798592,-73.936691,40.770172,-73.954887
40.760677,-73.980881,40.761494,-73.94976
40.768532,-73.981445,40.798687,-73.961716
40.73288,-73.981514,40.771469,-73.958626
40.721699,-73.984772,40.682533,-73.962151
40.739601,-74.002472,40.701988,-73.981232
40.764198,-73.954178,40.735126,-73.996185
40.774822,-73.953812,40.757046,-73.925072
40.723061,-73.98568,40.747971,-73.981537
40.815548,-73.958183,40.844193,-73.92527
40.742386,-73.974396,40.733597,-73.997475
40.801922,-73.967789,40.821014,-73.94606
40.759918,-73.936867,40.781342,-73.95208
40.797852,-73.960297,40.761692,-73.986786
40.718746,-73.988052,40.772099,-73.950127
40.721684,-73.984871,40.709625,-74.00885
40.763233,-73.967995,40.749657,-73.991859
40.744637,-73.910614,40.723751,-73.854485
40.713387,-73.958328,40.690823,-73.936165
40.749439,-73.999046,40.793499,-73.972847
40.764706,-73.978012,40.773087,-73.949135
40.794682,-73.971741,40.833805,-73.94529
40.712151,-74.010063,40.760109,-73.980202
40.726879,-73.991661,40.677917,-73.991081
40.765533,-73.913879,40.757912,-73.964363
40.730183,-73.983505,40.762398,-73.982872
40.790241,-73.952133,40.78867,-73.978203
40.796478,-73.949409,40.75629,-73.994194
40.75919,-73.988876,40.756863,-73.989441
40.73756,-73.980873,40.728374,-74.005478
40.714165,-73.95163,40.69241,-73.948311
40.726585,-73.851852,40.768608,-73.862061
40.781086,-73.983246,40.780041,-73.947205
40.794067,-73.972031,40.76437,-73.995758
40.75766,-73.920143,40.75201,-73.87619
40.783291,-73.97448,40.80125,-73.961418
40.793533,-73.972794,40.7495,-73.99173
40.742092,-74.004013,40.72628,-73.980408
40.777138,-73.952347,40.730621,-73.980431
40.75528,-73.987747,40.778141,-73.956512
40.820881,-73.954659,40.765209,-73.972427
40.708351,-73.957397,40.71265,-73.964317
40.747314,-73.989876,40.722321,-73.987282
40.780479,-73.949738,40.758091,-73.969147
40.765831,-73.913475,40.756966,-73.871857
40.675125,-73.963326,40.691998,-73.987549
40.728397,-73.985115,40.75507,-74.002342
40.72937,-73.983971,40.75655,-73.990677
40.782413,-73.976234,40.756821,-73.990135
40.778423,-73.982109,40.80471,-73.962334
40.785069,-73.953888,40.76133,-73.974892
40.787109,-73.979156,40.751518,-73.992073
40.764744,-73.980698,40.802773,-73.942757
40.778294,-73.954437,40.802696,-73.935989
40.644444,-73.782356,40.641628,-73.789085
40.753193,-73.98307,40.772579,-73.955284
40.751278,-73.977661,40.781101,-73.951538
40.74358,-73.920647,40.779373,-73.955399
40.721851,-74.004318,40.760391,-73.983871
40.74696,-73.987396,40.747917,-73.971382
40.725945,-73.97731,40.767281,-73.982506
40.76701,-73.990036,40.797264,-73.950043
40.798019,-73.948303,40.750626,-73.990372
40.757893,-73.971588,40.786125,-73.945511
40.792137,-73.938118,40.818565,-73.927101
40.728485,-74.002907,40.768463,-73.98732
40.734138,-73.989059,40.75631,-73.991013
40.738216,-73.99987,40.707577,-73.940063
40.761482,-73.960381,40.749912,-73.991264
40.7314,-73.988472,40.782406,-73.957748
40.783787,-73.952408,40.758617,-73.979355
40.776768,-73.982254,40.746567,-73.988541
40.713253,-74.007538,40.750504,-73.991051
40.740776,-73.992722,40.706516,-73.943077
40.783272,-73.978256,40.781151,-73.947701
40.756496,-73.990334,40.790863,-73.971115
40.75264,-73.944229,40.751411,-73.990784
40.77084,-73.957207,40.735428,-74.003342
40.733624,-73.987442,40.76582,-73.963104
40.743946,-74.006645,40.722008,-73.975975
40.704449,-74.008919,40.73811,-74.003792
40.693729,-73.983261,40.741756,-73.974724
40.773949,-73.951317,40.796902,-73.969971
40.762726,-73.978867,40.731392,-73.982857
40.727646,-73.976311,40.752182,-74.003082
40.762642,-73.978973,40.731499,-73.984978
40.725727,-73.977219,40.750198,-73.994705
40.770157,-73.951485,40.751362,-73.993385
40.769512,-73.924438,40.745918,-73.955452
40.716503,-74.004395,40.748295,-73.990173
40.7304,-73.989189,40.770271,-73.961868
40.750462,-73.976372,40.78651,-73.942268
40.798824,-73.968735,40.761513,-73.963707
40.734829,-73.989998,40.773979,-73.960594
40.755199,-73.986259,40.779331,-73.988258
40.743977,-73.924103,40.76947,-73.962669
40.747585,-73.976883,40.739552,-74.006477
40.766491,-73.996155,40.750942,-73.945412
40.775307,-73.946243,40.729107,-73.987022
40.745361,-73.975578,40.786209,-73.950287
40.781403,-73.954193,40.752457,-73.975075
40.777416,-73.98616,40.734215,-73.989754
40.783401,-73.949257,40.756008,-74.004471
40.746265,-73.98597,40.763962,-73.961807
40.727428,-73.985405,40.749977,-73.991096
40.75008,-73.971573,40.762691,-73.92691
40.790131,-73.969604,40.758694,-73.9888
40.791786,-73.941475,40.753365,-73.996117
40.828659,-73.929871,40.815189,-73.903893
40.71347,-74.004723,40.750778,-73.99826
40.798424,-73.970978,40.841312,-73.942551
40.722668,-73.988693,40.707272,-73.950539
40.740185,-73.982178,40.722218,-73.987297
40.77866,-73.982124,40.75016,-73.994858
40.801556,-73.964981,40.778465,-73.985222
40.676182,-73.935768,40.702732,-73.942528
40.68005,-73.941612,40.721272,-74.004417
40.722332,-73.986145,40.758507,-73.991013
40.690361,-73.994301,40.693844,-73.937256
40.766827,-73.953758,40.749603,-73.986015
40.720581,-74.005379,40.76255,-73.963188
40.762714,-73.967751,40.740433,-73.97596
40.776836,-73.949211,40.748123,-73.988823
40.777035,-73.952301,40.772034,-73.925339
40.755783,-73.967819,40.767029,-73.921684
40.747322,-73.993279,40.702465,-74.013168
40.693874,-73.983238,40.749893,-73.995148
40.77253,-73.919884,40.749638,-73.977577
40.785629,-73.951256,40.749645,-73.987686
40.715481,-74.007866,40.752438,-73.980614
40.74501,-73.909943,40.744961,-73.873451
40.767197,-73.95475,40.769386,-73.985748
40.697231,-73.935318,40.684818,-73.991913
40.774384,-73.981056,40.75108,-73.984543
40.725071,-73.98423,40.750263,-73.994705
40.772575,-73.955162,40.764603,-73.988083
40.774433,-73.87307,40.763706,-73.922272
40.74464,-74.002571,40.764,-73.978897
40.737976,-74.00013,40.761108,-73.994324
40.767288,-73.925797,40.765381,-73.967812
40.771416,-73.956535,40.724987,-73.995148
40.731422,-73.985603,40.731949,-73.995934
40.747784,-73.986961,40.76495,-73.961693
40.709534,-74.006241,40.733772,-73.995819
40.812256,-73.938103,40.771595,-73.965721
40.72765,-73.985313,40.773495,-73.981476
40.80172,-73.961182,40.76815,-73.985023
40.756432,-73.989151,40.79092,-73.951576
40.768131,-73.955582,40.750542,-73.991707
40.77322,-73.978203,40.750141,-73.994652
40.749928,-73.981407,40.777428,-73.954819
40.741428,-74.004906,40.756798,-73.982491
40.723557,-73.991364,40.751026,-73.990883
40.725018,-73.99514,40.751347,-73.99411
